"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @anuragdhanda: This govt twitter handle I noticed is very active in helping Covid cases in Delhi. Please tag @DelhiVsCorona whenever you…",FALSE,0,NA,2020-06-11 06:54:54,FALSE,NA,"1270972762815774722",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MohitHyderabadi",67,TRUE,FALSE,NA,NA
"@Maveric94280289 bhai,what is ur prediciton for corona cases reduction,will it have bad impact on modi ji

When will we get POK",FALSE,0,"Maveric94280289",2020-06-11 06:54:52,FALSE,NA,"1270972753500200962","1052639666355109890","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Viswa_scm",0,FALSE,FALSE,NA,NA
"RT @SuPriyoBabul: MamataDidi says, 
""11 lakh migrant labourers hv returned to the state already, 30000 are yet to come. I never called the…",FALSE,0,NA,2020-06-11 06:54:52,FALSE,NA,"1270972751847649280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MVajpa",63,TRUE,FALSE,NA,NA
"Nature Cure Hospital, in Nepal started treating Corona patient in integrative medicinal approaches with Modern Medi… https://t.co/xaOPcaGM9T",FALSE,0,NA,2020-06-11 06:54:51,TRUE,NA,"1270972750878830597",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dr_sunilsapkota",0,FALSE,FALSE,NA,NA
"RT @Incsolanki: Media will fight Pakistan
Army will take on China
People will fight Corona
And BJP will fight Bihar Elections...!",FALSE,0,NA,2020-06-11 06:54:51,FALSE,NA,"1270972749708537859",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gauravbhrtinsui",8,TRUE,FALSE,NA,NA
"RT @prafullaketkar: . #goodnewsstory India has now more corona survivors than patients: Recovery rate improves to 48.88 pct -  https://t.co…",FALSE,0,NA,2020-06-11 06:54:50,FALSE,NA,"1270972745522638848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jainpankajkasan",4,TRUE,FALSE,NA,NA
"RT @OmerAzhar96: PTI Member of Sindh Assembly, Khurram Sher Zaman, who criticised Sindh government for stricter lockdown, claimed on nation…",FALSE,0,NA,2020-06-11 06:54:49,FALSE,NA,"1270972742121263105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tmesis___",5,TRUE,FALSE,NA,NA
"Offline Celebrations cancelled For Thalapathy Vijay Bday .. 

@actorvijay has Instructed to Every VMI Heads ...Not… https://t.co/zpLWR6duGr",FALSE,0,NA,2020-06-11 06:54:49,TRUE,NA,"1270972738832707585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prembalaji1974",0,FALSE,FALSE,NA,NA
"Delhi govt to withdraw ‘70% special corona cess’ on liquor from June 10 !

Can someone  confirm this? ??",FALSE,0,NA,2020-06-11 06:54:48,FALSE,NA,"1270972736811216896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bechainaatma69",0,FALSE,FALSE,NA,NA
"RT @Satyanewshi: 29th MAY MAMATA BANERJEE Indian Railways is running ""Corona Express"" in the name of Shramik trains
10th JUNE I DIDN'T""T SA…",FALSE,0,NA,2020-06-11 06:54:48,FALSE,NA,"1270972735397609473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iyerchandrru",61,TRUE,FALSE,NA,NA
"RT @nildeoreIAS: I got many queries reg diet &amp; routine I was following after testing positive for #COVID19 

I am sharing this chart prepar…",FALSE,0,NA,2020-06-11 06:54:48,FALSE,NA,"1270972735037026304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ashusaloni2009",135,TRUE,FALSE,NA,NA
"#CoronavirusUpdate 42 labs functional in #Delhi, asked to give #COVID19 report in 24 hours, says health minister… https://t.co/SmQhVSLdlF",FALSE,0,NA,2020-06-11 06:54:48,TRUE,NA,"1270972734655172611",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FinancialXpress",0,FALSE,FALSE,NA,NA
"@ANI Follow @TimesDemocracy for fastest Corona bulletins and reports of Andhra Pradesh.

https://t.co/jJt6lmwrBI",FALSE,0,"ANI",2020-06-11 06:54:45,FALSE,"1270971899003068416","1270972725582983168","355989081","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abhishek2612V",0,FALSE,FALSE,NA,NA
"This country could reach for Corona Virus vaccine eternally.",FALSE,0,NA,2020-06-11 06:54:45,FALSE,NA,"1270972724022775808",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","adventuremotive",0,FALSE,FALSE,NA,NA
"Side note - I’m also maintaining a really good skincare routine daily, with face masks every 2/3 days. Corona glow up is mineeee",FALSE,0,"lrchsny",2020-06-11 06:54:45,FALSE,"1270971895194832897","1270972723246911488","880558970","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lrchsny",0,FALSE,FALSE,NA,NA
"strange that Govt is more concerned about poaching of mla's than corona or job creation.
govt  care about their own… https://t.co/uq1nxqch3t",FALSE,0,NA,2020-06-11 06:54:44,TRUE,NA,"1270972720340103168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Deepak_restless",0,FALSE,FALSE,NA,NA
"We are doing well but some stupid people they don't follow instructions.. that's why corona patients increase.. I d… https://t.co/mY3MyAaF2Y",FALSE,0,"prashantp_23",2020-06-11 06:54:44,TRUE,"1270971087090679808","1270972720059232261","777059262388432896","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prashantp_23",0,FALSE,FALSE,NA,NA
"RT @R_O_R_R_I: @Bongiwe_Amy Especially in winter, its so cold and you wana be naked just so you can have sex???? Yho sorry corona can have…",FALSE,0,NA,2020-06-11 06:54:44,FALSE,NA,"1270972719593672704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","R_O_R_R_I",1,TRUE,FALSE,NA,NA
"@zaka1855 Nahi :)
Just checking the corona trend",FALSE,0,"zaka1855",2020-06-11 06:54:42,FALSE,"1270972393251536897","1270972711938846720","1121123792867266560","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LostSou39348907",0,FALSE,FALSE,NA,NA
"@ScottMorrisonMP The Tale of Liberals- NPNA &amp; IA
Scomo and Josh are NPNA's Non Performing Non Assets
IA- Howard and… https://t.co/53ts3h5zXH",FALSE,0,"ScottMorrisonMP",2020-06-11 06:54:42,TRUE,"1270932387929571331","1270972711322267648","34116377","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ONELINER19",0,FALSE,FALSE,NA,NA
"RT @Abhilas88811235: Pharmacist can face corona..but cant face work without cadre..#<U+0917><U+0939><U+0932><U+094B><U+0924><U+091C><U+0940>_<U+092B><U+093E><U+0930><U+094D><U+092E><U+093E><U+0938><U+093F><U+0938><U+094D><U+091F>_<U+0915><U+0948><U+0921><U+0930>_<U+0926><U+094B><U+0928><U+093E>
#RajasthanPharmacistsDese…",FALSE,0,NA,2020-06-11 06:54:41,FALSE,NA,"1270972708289839105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mahendr19578471",38,TRUE,FALSE,NA,NA
"@DrRPNishank 
Sir,
Please don't postpone NEET JEE any further.We,the students are suffering from uncertainty,and ou… https://t.co/NnnARywF9h",FALSE,0,"DrRPNishank",2020-06-11 06:54:41,TRUE,NA,"1270972707417382913","2617066206","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DebamitraRoy",0,FALSE,FALSE,NA,NA
"hi guys, sorry ive been ia the past few days ive been sikc. im almosy 99% surebi have corona since i have most of t… https://t.co/OGYKGQMJBt",FALSE,0,NA,2020-06-11 06:54:40,TRUE,NA,"1270972702799671297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joonie_blossom",0,FALSE,FALSE,NA,NA
