"","score","text","klasifikasi"
"1",5,"healthcareheroes we love you thank you for all you do and are doing in this fight against coronavirususa your courageisbeautiful god bless you you are in our prayers","Positif"
"2",0,"when you can finally cook for your family and your kids put in their request then they say  mama im glad youre not sick anymore this my favorite lol covid coronavirususa covidsurvivor lovemyfamily","Netral"
"3",0,"in support of our healthcareheroes treating covid patients free group memberships entire course library  covid specific content form nursescovid covidfoam foamed medtwitter emergencymedicine firstresponders coronavirususa doctors nurses","Netral"
"4",1,"who is behind the coronavirus social distancing protests  coronavirususa coronaviruspandemic covid votehimout votebluetoendthisnightmare voteblue wakeupamerica wakeup","Positif"
"5",0,"coronavirususa  tonights stats","Netral"
"6",3,"i really cannot wait until everything goes back to normal though at the moment i can even remember what normal is momlife workingmom essentialworker mainelife coronavirususa","Positif"
"7",0,"susan rice kushners comment would be laughable if it werent deadly serious  via  covid coronavirus covidus coronaviruspandemic coronaviruslockdown coronavirususa coronavirusoutbreak","Netral"
"8",-1," they have schools in america some incredibly dumb people here usa howmanybodies covidusa coronavirususa trumpliesamericansdie","Negatif"
"9",1,"here is my connecticut covid update for wednesday april   please stay safe and healthy as we work together through this pandemic coronavirusct coronavirususa hopesandprayers","Positif"
"10",1,"i am really wishing i had a source of information about the pandemic i trusted and believe wait i do  coronavirususa allinillinois","Positif"
"11",0,"new news of coronavirus   covid coviduk coronavirususa usa ukraine chineseviruscorona","Netral"
"12",0,"i jus wanna do sum simple shit go to mall buy a pair jeans an get a pretzel coronavirususa","Netral"
"13",2," love how conservatives are alarmed at this but not the major public companies receiving massive bailout loans amp grants do y really think these ppl just want to stay home amp collect this is pathetic the gop bailout billionaires but cry foul on this coronavirususa","Positif"
"14",-1,"update coronavirususa  us  coronavirus deaths  more in the last  hours the  deaths in only a few months is more than all american deaths in the vietnam war","Negatif"
"15",6,"coronavirususa  trump reveals plans to bring back his  people rallies as he says he will travel to arizona and ohio says of the virus its going to leave  this is all to feed his ego and anyone who goes to one of these rallies is a fool","Positif"
"16",2,"beloved brooklyn teacher  dies of coronavirus after she was twice denied a covid test  abc news failure of leadership by the federal state and city governments another instance where your zip code determines your health outcome coronavirususa","Positif"
"17",-1,"so trumps  has dumped his shares of hydro and has bought shares in remdesivir instead  coronavirus  codvid  coronavirususa","Negatif"
"18",-3,"after another week matching within a few  of the prior weeks cases and italy doing the same thing i think conservatively were looking at k deaths in the us by end of may  coronavirususa coronavirus coronavirusupdate","Negatif"
"19",-3,"the patriots end game    trump congress politics news coronavirususa covidreliefirs covid covid lockdownend endtheshutdown rentrelief outerbanks nycoronavirus nyc nj pa ny fl flattenthecurve wwgwwga qanon quedateencasa","Negatif"
"20",-1,"no one is talking about the people in the cages peoplefirst coronavirususa","Negatif"
"21",0,"a genuine feel good track of the day  in  i started getting into electro breakdance hip hop then this little known funk track got me into soul  funk i have it on vinyl  rochelle  my magic man  covid covid coronavirusuk coronavirususa","Netral"
"22",-2,"perhaps heparin for blood clotting with covid covid coronavirususa coronavirus","Negatif"
"23",-1,"should rent be canceled because of the coronavirus s  look at issues with opinions from throughout the political spectrum  rentstrike coronavirususa","Negatif"
"24",-2,"fake good news cautious optimism is contagious just like a virus  trumpsthekingof wellnesswednesday coronavirususa pandemic pandumbic","Negatif"
"25",2,"talk is cheap coronavirususa might actually go away more quickly if trump took proactive measures to eradicate it such as using established scientific knowledge","Positif"
"26",0,"tribal governments were supposed to get  billion in emergency covid aid from the cares act more than a month later they still havent gotten any  via  coronavirus covid covidus coronavirususa coronavirusoutbreak coronalockdown","Netral"
"27",1,"big tech censors dissent over coronavirus lockdowns  its all a sham virushoax coronavirususa","Positif"
"28",-1,"a year in review  review covid coronavirusuk coronavirus coronavirususa wasfununtil  pandemic thisisshit socialdistanacing lockdown isolation","Negatif"
"29",-1,"if america is opening up again think we need to ban immigrationtourists from there for a while until they can prove they got this under control  god knows how long that will be  covid coronavirususa trump america stayhomesavelives","Negatif"
"30",-1,"deaths per million from the wuhan virus in us states districts and territories as of  edt on april  covid  sarscov coronavirus  coronavirususa  coronavirusoutbreak  wuhanvirus  ccpvirus","Negatif"
"31",1,"great to see  serving all communities during the coronavirususa pandemic    americaworkstogether","Positif"
"32",1,"and counting dead people due to your  incompetencies you are the epitome of entitlement high talking loser  coronavirus jaredkushnerforprison  trumpcoronavirustestfailure  trumpownseverydeath  kushnerownseverydeath  coronavirususa","Positif"
"33",4,"boris johnson also talked about successes  funnily when he resumed work his first call was to trump who also spouts this nonsense usa coronavirususa coronavirusuk","Positif"
