"text","emotion","polarity"
"this govt twitter handle i noticed is very active in helping covid cases in delhi please tagwhenever you…","joy","positive"
"bhaiwhat is ur prediciton for corona cases reductionwill it have bad impact on modi ji

when will we get pok","sadness","negative"
"mamatadidi says 
 lakh migrant labourers hv returned to the state alreadyare yet to come i never called the…","unknown","positive"
"nature cure hospital in nepal started treating corona patient in integrative medicinal approaches with modern medi…","unknown","positive"
"media will fight pakistan
army will take on china
people will fight corona
and bjp will fight bihar elections","unknown","neutral"
"goodnewsstory india has now more corona survivors than patients recovery rate improves topct…","unknown","positive"
"pti member of sindh assembly khurram sher zaman who criticised sindh government for stricter lockdown claimed on nation…","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not…","unknown","positive"
"delhi govt to withdraw ‘ special corona cess’ on liquor from june

can someoneconfirm this","unknown","positive"
"th may mamata banerjee indian railways is running corona express in the name of shramik trains
th june i didntt sa…","unknown","positive"
"i got many queries reg diet amp routine i was following after testing positive for covid 

i am sharing this chart prepar…","joy","positive"
"coronavirusupdatelabs functional in delhi asked to give covid report inhours says health minister…","unknown","positive"
"followfor fastest corona bulletins and reports of andhra pradesh","unknown","positive"
"this country could reach for corona virus vaccine eternally","unknown","negative"
"side i’m also maintaining a really good skincare routine daily with face masks everydays corona glow up is mineeee","joy","positive"
"strange that govt is more concerned about poaching of mlas than corona or job creation
govtcare about their own…","unknown","negative"
"we are doing well but some stupid people they dont follow instructions thats why corona patients increase i d…","surprise","negative"
"especially in winter its so cold and you wana be naked just so you can have sex yho sorry corona can have…","sadness","neutral"
"nahi 
just checking the corona trend","unknown","positive"
"the tale of liberals npna amp ia
scomo and josh are npnas non performing non assets
ia howard and…","surprise","positive"
"pharmacist can face coronabut cant face work without cadre<U+0917><U+0939><U+0932><U+094B><U+0924><U+091C><U+0940><U+092B><U+093E><U+0930><U+094D><U+092E><U+093E><U+0938><U+093F><U+0938><U+094D><U+091F><U+0915><U+0948><U+0921><U+0930><U+0926><U+094B><U+0928><U+093E>
rajasthanpharmacistsdese…","unknown","positive"
"sir
please dont postpone neet jee any furtherwethe students are suffering from uncertaintyand ou…","joy","neutral"
"hi guys sorry ive been ia the past few days ive been sikc im almosysurebi have corona since i have most of t…","sadness","negative"
"youve worked really hard all these whileit was very nice seeing your kind and always bright appearance i hope yo…","joy","positive"
"thank you corona warriors to protect us from corona
coronafreebharatwithpatanjali
<U+092E><U+0939><U+093E><U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+092A><U+0924><U+0902><U+091C><U+0932><U+093F><U+092F><U+094B><U+0917><U+0926><U+093F><U+0935><U+0938>","joy","positive"
"dear cm ap i appreciate the reforms takenup by u in welfare sector and particularly i…","joy","positive"
"psycho terrorist attack she dealt with it volcanic eruption she dealt with it corona virus you guessed it she de…","unknown","negative"
"this govt twitter handle i noticed is very active in helping covid cases in delhi please tagwhenever you…","joy","positive"
"so nigerian alleged billionaire hushpuppi has been arrested by interpol for scamming andmoney laundering of over mi…","unknown","positive"
"this govt twitter handle i noticed is very active in helping covid cases in delhi please tagwhenever you…","joy","positive"
"please sir as per the current situation of the corona outbreak you should postpone big exams like jee a…","joy","positive"
"even corona has not brought people closer to allah","unknown","positive"
"jesus corona scored the only goal for porto in theirwin over maritimo last night 

you couldn’t make it up","unknown","negative"
"have to say cannot complain at how quickly and how wellhave helped our businesses in delivering…","unknown","negative"
"corona virus in action","unknown","negative"
"psycho terrorist attack she dealt with it volcanic eruption she dealt with it corona virus you guessed it she de…","unknown","negative"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"watching news
picseeing that new zealand is corona free
pick increase in corona cases every day…","joy","negative"
"the nurses and drsare those who made a great wall in between the world and corona virusand whats wrong if we sta…","joy","neutral"
"corona virusgovernment
<U+0001F91D><U+0001F3FD>
killing people","unknown","positive"
"over my shoulder <U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B5><U+0001F3B5><U+0001F3B5>this song makes me miss normal weekendscorona to hellmainaandkingangi","unknown","neutral"
"govt ko smjho yrr exam ka dar nhi he corona ka dar he 
wese to bolte rehte he stay home","sadness","positive"
"if they knows the future that students will not suffer then india will not hired by these much number of cases they are…","sadness","neutral"
"mamata banerjee who insulted the poor bengali migrants and called shramik express getting them back as ‘corona’ express…","sadness","negative"
"fucking society need corona viruses every year<U+0001F494>","unknown","negative"
"travel bubblecorona corridortravel bridge or social bubble is more inclusive than individual social…","unknown","positive"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"our women development minister is focused on antakshari

our railway minister is focused on electoral bonds

our home minis…","unknown","positive"
