"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"<U+30CE><U+30A8><U+30EB><U+304F><U+3093><U+306E><U+9762><U+4F1A><U+306B><U+52D5><U+7269><U+75C5><U+9662><U+306B><U+6765><U+3066><U+308B><U+3093><U+3060><U+3051><U+3069><U+3001><U+5F85><U+305F><U+3055><U+308C><U+308B><U+304B><U+306A><U+FF1F><U+5F85><U+5408><U+5BA4><U+304C><U+6DF7><U+3093><U+3067><U+3066><U+5916><U+3067><U+5F85><U+3063><U+3066><U+308B><U+306E><U+3088><U+306D><U+3002><U+307E><U+3041><U+3001><U+4ECA><U+65E5><U+5BD2><U+304F><U+306A><U+3044><U+304B><U+3089><U+3044><U+3044><U+3051><U+3069><U+3055><U+3002>",FALSE,0,NA,2020-05-10 07:10:26,FALSE,NA,"1259380259817811968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","himawari_1411",0,FALSE,FALSE,NA,NA
"@Nai_00maru @sizukanisite_sp <U+591A><U+5206><U+3067><U+304D><U+3066><U+308B>!<U+89E3><U+7D04>
<U+30B5><U+30D6><U+30B9><U+30AF><U+30EA><U+30D7><U+30B7><U+30E7><U+30F3><U+3092><U+518D><U+767B><U+9332><U+3059><U+308B><U+306B><U+306F><U+301C><U+3063><U+3066><U+3042><U+308B><U+304B><U+3089>!",FALSE,0,"Nai_00maru",2020-05-10 07:10:21,FALSE,"1259332376427028480","1259380236157775872","1234061778113323008","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Himawari_miu25",0,FALSE,FALSE,NA,NA
"<U+5E83><U+5CF6><U+770C><U+5E02><U+753A><U+6751><U+300C><U+9053><U+8DEF><U+6848><U+5185><U+6A19><U+8B58><U+300D><U+30AF><U+30A4><U+30BA> 10<U+554F><U+4E2D> 6<U+554F> <U+6B63><U+89E3><U+3057><U+307E><U+3057><U+305F>!
<U+3010> <U+2460><U+25CB> <U+2461><U+25CB> <U+2462><U+25CB> <U+2463><U+2715> <U+2464><U+25CB> <U+2465><U+2715> <U+2466><U+2715> <U+2467><U+25CB> <U+2468><U+2715> <U+2469><U+25CB> <U+3011>
#<U+30AF><U+30A4><U+30BA><U+30E1><U+30FC><U+30AB><U+30FC> #<U+5E83><U+5CF6><U+770C>
<U+79C1><U+306F><U+5E83><U+5CF6><U+770C><U+6C11><U+FF1F>(<U+7B11>) https://t.co/kaHhElzXmS",FALSE,0,NA,2020-05-10 07:10:15,FALSE,NA,"1259380211352649731",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Himawari_kerori",0,FALSE,FALSE,NA,NA
"@rrr_himawari <U+305D><U+3046><U+3067><U+3059>!<U+3061><U+3087><U+3063><U+3068>(<U+3060><U+3044><U+3076>)<U+6697><U+3044><U+3001><U+3001><U+3068><U+3044><U+3046><U+304B><U+3001><U+8F9B><U+3044><U+5185><U+5BB9><U+306E><U+30B0><U+30EA><U+30E0><U+7AE5><U+8A71><U+3001><U+3001><U+3001>",FALSE,0,"rrr_himawari",2020-05-10 07:10:10,FALSE,"1259379141083672576","1259380191672950788","1118465639323037696","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TKRBSM",0,FALSE,FALSE,NA,NA
"<U+8133><U+6B7B><U+3067><U+3084><U+308A><U+3059><U+304E><U+306A><U+3093><U+3060><U+3088><U+306A><U+3002><U+3082><U+3046><U+3061><U+3087><U+3044><U+51B7><U+9759><U+306B><U+5834><U+9762><U+3092><U+8003><U+3048><U+306A><U+304C><U+3089><U+6253><U+3061><U+5408><U+3044><U+3092><U+3059><U+308B><U+3079><U+304D><U+306A><U+3093><U+3060><U+3068><U+601D><U+3046><U+3002>",FALSE,0,NA,2020-05-10 07:09:56,FALSE,NA,"1259380134915633152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","himawari_monaka",0,FALSE,FALSE,NA,NA
"@crew_ushigaeru <U+3044><U+3044><U+30BF><U+30A4><U+30DF><U+30F3><U+30B0><U+3059><U+304E><U+308B>www",FALSE,1,"crew_ushigaeru",2020-05-10 07:09:56,FALSE,"1259380011498274816","1259380134726864896","1259027298222665729","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Himawari_Crew16",0,FALSE,FALSE,NA,NA
"@himawari_dayou <U+512A><U+3057><U+3059><U+304E><U+308B><U+3001><U+3001><U+3001>",FALSE,0,"himawari_dayou",2020-05-10 07:09:44,FALSE,"1259367400043982848","1259380083552206857","1256906856313679872","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zenchankimetu",0,FALSE,FALSE,NA,NA
"<U+6B63><U+3057><U+3044><U+30D5><U+30A1><U+30F3><U+3063><U+3066><U+4F55><U+3088>
<U+5BB6><U+65CF><U+5BB6><U+65CF><U+3063><U+3066><U+5426><U+5B9A><U+6D3E><U+3082><U+80AF><U+5B9A><U+6D3E><U+3082><U+6975><U+7AEF><U+3067><U+3057><U+3087>
<U+3069><U+3063><U+3061><U+3067><U+3082><U+3044><U+3044><U+308F>
<U+79C1><U+306F><U+6728><U+6751><U+62D3><U+54C9><U+3055><U+3093><U+306E><U+9854><U+304C><U+597D><U+304D>
<U+8868><U+73FE><U+8005><U+3068><U+3057><U+3066><U+306E><U+611F><U+6027><U+304C><U+597D><U+304D>
<U+305D><U+3053><U+306B><U+5BB6><U+65CF><U+306F><U+95A2><U+4FC2><U+306A><U+3044>
<U+5E78><U+305B><U+306F><U+9858><U+3046><U+3051><U+3069><U+3001><U+30D7><U+30E9><U+30A4><U+30D9><U+30FC><U+30C8><U+306F><U+77E5><U+3089><U+306A><U+3044><U+3067><U+826F><U+3044>
<U+5BB6><U+65CF><U+840C><U+3048><U+3068><U+304B><U+7121><U+3044>
<U+5BB6><U+65CF><U+304C><U+5927><U+4E8B>… https://t.co/Nm8tTHCjk7",FALSE,0,NA,2020-05-10 07:09:44,TRUE,NA,"1259380083149508608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","himawari_252525",0,FALSE,FALSE,NA,NA
"@himawari_record <U+7B11>",FALSE,0,"himawari_record",2020-05-10 07:09:39,FALSE,"1258983861607784448","1259380062064766976","1075775085821124616","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jigen0303",0,FALSE,FALSE,NA,NA
"RT @UQ_WiMAX: /
GW<U+3092><U+3082><U+3063><U+3068><U+697D><U+3057><U+304F><U+203C><U+FE0F>
#GW<U+304A><U+3046><U+3061><U+5927><U+6E80><U+55AB><U+30AD><U+30E3><U+30F3><U+30DA><U+30FC><U+30F3>
\

<U+0001F381><U+5FDC><U+63F4><U+30B0><U+30C3><U+30BA><U+304C><U+5F53><U+305F><U+308B><U+0001F381>
 <U+2728><U+304A><U+3046><U+3061><U+306E><U+9AD8><U+901F>Wi-Fi<U+3067><U+5DE3><U+3054><U+3082><U+308A><U+751F><U+6D3B><U+3092>UQ<U+304C><U+5FDC><U+63F4>!
 <U+2728><U+30CD><U+30C3><U+30C8><U+3084><U+30C6><U+30EC><U+30D3>·<U+30B2><U+30FC><U+30E0><U+3067><U+75B2><U+308C><U+305F><U+3042><U+306A><U+305F><U+306E><U+76EE><U+3092><U+68EE><U+4E0B><U+4EC1><U+4E39><U+304C><U+5FDC><U+63F4>!

<U+2460><U+4E21><U+30A2><U+30AB><U+30A6><U+30F3><U+30C8><U+3092><U+30D5><U+30A9><U+30ED><U+30FC>
 <U+0001F3E0>@UQ_…",FALSE,0,NA,2020-05-10 07:09:39,FALSE,NA,"1259380060668084226",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dora_himawari",4597,TRUE,FALSE,NA,NA
