"Peringkat","Judul","Deskripsi","Runtime","Genre","Rating"
"1.","A Quiet Place","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",90,"Drama, Horror, Sci-Fi            ",7.5
"2.","Green Book","A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.",130,"Biography, Comedy, Drama            ",8.2
"3.","Freaks","A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control.",105,"Drama, Mystery, Sci-Fi            ",6.7
"4.","Avengers: Infinity War","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",149,"Action, Adventure, Sci-Fi            ",8.5
"5.","Black Panther","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",134,"Action, Adventure, Sci-Fi            ",7.3
"6.","Hereditary","A grieving family is haunted by tragic and disturbing occurrences.",127,"Drama, Horror, Mystery            ",7.3
"7.","Mission: Impossible - Fallout","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",147,"Action, Adventure, Thriller            ",7.7
"8.","Spider-Man: Into the Spider-Verse","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",117,"Animation, Action, Adventure            ",8.4
"9.","Annihilation","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",115,"Adventure, Drama, Horror            ",6.9
"10.","Bohemian Rhapsody","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",134,"Biography, Drama, Music            ",8
"11.","Solo: A Star Wars Story","During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",135,"Action, Adventure, Sci-Fi            ",6.9
"12.","Ready Player One","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",140,"Action, Adventure, Sci-Fi            ",7.5
"13.","Instant Family","A couple find themselves in over their heads when they foster three children.",118,"Comedy, Drama            ",7.3
"14.","Aquaman","Arthur Curry (Jason Momoa), the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",143,"Action, Adventure, Fantasy            ",7
"15.","A Simple Favor","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",117,"Comedy, Crime, Drama            ",6.8
"16.","Deadpool 2","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",119,"Action, Adventure, Comedy            ",7.7
"17.","The Favourite","In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.",119,"Biography, Comedy, Drama            ",7.6
"18.","Bird Box","Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",124,"Drama, Horror, Sci-Fi            ",6.6
"19.","Fantastic Beasts: The Crimes of Grindelwald","The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",134,"Adventure, Family, Fantasy            ",6.6
"20.","A Star Is Born","A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.",136,"Drama, Music, Romance            ",7.7
"21.","Ocean's Eight","Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.",110,"Action, Comedy, Crime            ",6.2
"22.","Venom","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",112,"Action, Sci-Fi, Thriller            ",6.7
"23.","Upgrade","Set in the near-future, technology controls nearly all aspects of life. But when Grey, a self-labelled technophobe's world's turned upside down, his only hope for revenge is an experimental computer chip implant.",100,"Action, Horror, Sci-Fi            ",7.5
"24.","Den of Thieves","An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.",140,"Action, Crime, Drama            ",7
"25.","Mary Poppins Returns","A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",130,"Comedy, Family, Fantasy            ",6.7
"26.","Crazy Rich Asians","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",120,"Comedy, Drama, Romance            ",6.9
"27.","Jurassic World: Fallen Kingdom","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",128,"Action, Adventure, Sci-Fi            ",6.2
"28.","Fifty Shades Freed","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",105,"Drama, Romance, Thriller            ",4.5
"29.","Incredibles 2","The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",118,"Animation, Action, Adventure            ",7.6
"30.","The Ballad of Buster Scruggs","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",133,"Comedy, Drama, Musical            ",7.3
"31.","Life of the Party","After her husband abruptly asks for a divorce, a middle-aged mother returns to college in order to complete her degree.",105,"Comedy            ",5.6
"32.","Capharnaüm","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",126,"Drama            ",8.4
"33.","Overlord","A small group of American soldiers find horror behind enemy lines on the eve of D-Day.",110,"Action, Adventure, Horror            ",6.6
"34.","The VelociPastor","After losing his parents, a priest travels to China, where he inherits a mysterious ability that allows him to turn into a dinosaur. At first horrified by this new power, a hooker convinces him to use it to fight crime. And ninjas.",75,"Action, Adventure, Comedy            ",5.3
"35.","Mamma Mia! Here We Go Again","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",114,"Comedy, Musical, Romance            ",6.7
"36.","Bad Times at the El Royale","Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",141,"Crime, Drama, Mystery            ",7.1
"37.","The Mule","A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.",116,"Crime, Drama, Thriller            ",7
"38.","Vice","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",132,"Biography, Comedy, Drama            ",7.2
"39.","Ralph Breaks the Internet","Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",112,"Animation, Adventure, Comedy            ",7.1
"40.","Mile 22","A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",94,"Action, Thriller            ",6.1
"41.","BlacKkKlansman","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",135,"Biography, Crime, Drama            ",7.5
"42.","Game Night","A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.",100,"Action, Comedy, Crime            ",6.9
"43.","Suspiria","A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",152,"Fantasy, Horror, Mystery            ",6.8
"44.","Mandy","The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",121,"Action, Fantasy, Horror            ",6.6
"45.","Red Sparrow","Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",140,"Action, Drama, Thriller            ",6.6
"46.","How It Ends","A desperate man tries to return home to his pregnant fiancée after a mysterious apocalyptic event turns everything to chaos.",113,"Action, Adventure, Drama            ",5
"47.","To All the Boys I've Loved Before","A teenage girl's secret love letters are exposed and wreak havoc on her love life.",99,"Drama, Romance            ",7.2
"48.","Climax","French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.",97,"Drama, Horror, Music            ",7.1
"49.","Truth or Dare","A harmless game of Truth or Dare among friends turns deadly when someone -- or something -- begins to punish those who tell a lie or refuse the dare.",100,"Horror, Thriller            ",5.1
"50.","Roma","A year in the life of a middle-class family's maid in Mexico City in the early 1970s.",135,"Drama            ",7.7
"51.","Banana Split","Over the course of a summer, two teenage girls develop the perfect kindred spirit friendship, with one big problem: one of them is dating the other's ex.",88,"Comedy            ",5.9
"52.","Widows","Set in contemporary Chicago, amid a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.",129,"Crime, Drama, Thriller            ",6.9
"53.","Ant-Man and the Wasp","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",118,"Action, Adventure, Comedy            ",7.1
"54.","The Spy Who Dumped Me","Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.",117,"Action, Adventure, Comedy            ",6
"55.","Mary Queen of Scots","Mary Stuart's (Saoirse Ronan's) attempt to overthrow her cousin Elizabeth I (Margot Robbie), Queen of England, finds her condemned to years of imprisonment before facing execution.",124,"Biography, Drama, History            ",6.3
"56.","Durante la tormenta","Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.",128,"Drama, Mystery, Romance            ",7.4
"57.","Bumblebee","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",114,"Action, Adventure, Sci-Fi            ",6.8
"58.","The Meg","A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.",113,"Action, Horror, Sci-Fi            ",5.7
"59.","Mortal Engines","In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",128,"Action, Adventure, Fantasy            ",6.1
"60.","First Man","A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",141,"Biography, Drama, History            ",7.3
"61.","The Kissing Booth","A high school student is forced to confront her secret crush at a kissing booth.",105,"Comedy, Romance            ",6.1
"62.","Hunter Killer","An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.",122,"Action, Thriller            ",6.6
"63.","Beoning","Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby.",148,"Drama, Mystery            ",7.6
"64.","Creed II","Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",130,"Drama, Sport            ",7.1
"65.","The Nightingale","Set in 1825, Clare, a young Irish convict woman, chases a British officer through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. On the way she enlists the services of an Aboriginal tracker named Billy, who is also marked by trauma from his own violence-filled past.",136,"Adventure, Drama, Thriller            ",7.3
"66.","The House That Jack Built","The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",152,"Crime, Drama, Horror            ",6.8
"67.","Rampage","When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",107,"Action, Adventure, Sci-Fi            ",6.1
"68.","Isle of Dogs","Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",101,"Animation, Adventure, Comedy            ",7.9
"69.","12 Strong","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",130,"Action, Drama, History            ",6.5
"70.","On the Basis of Sex","The true story of Ruth Bader Ginsburg, her struggles for equal rights, and the early cases of a historic career that lead to her nomination and confirmation as U.S. Supreme Court Associate Justice.",120,"Biography, Drama            ",7
